"REF_DATE","GEO","DGUID","Products","Pipeline","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Imports","Cubic metres","Cubic metres","72","units","0","v107705252","1.1.1.1","2012566","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Imports","Cubic metres","Cubic metres","72","units","0","v107705252","1.1.1.1","1624947","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Imports","Cubic metres","Cubic metres","72","units","0","v107705252","1.1.1.1","1567430","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Imports","Cubic metres","Cubic metres","72","units","0","v107705252","1.1.1.1","1702746","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Imports","Cubic metres","Cubic metres","72","units","0","v107705252","1.1.1.1","1722550","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705254","1.1.2.1","21419433","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705254","1.1.2.1","20541135","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705254","1.1.2.1","20767159","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705254","1.1.2.1","20605154","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705254","1.1.2.1","21708961","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705256","1.1.3.1","2664690","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705256","1.1.3.1","2678769","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705256","1.1.3.1","2617515","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705256","1.1.3.1","2537110","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705256","1.1.3.1","2606383","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Exports","Cubic metres","Cubic metres","72","units","0","v107705258","1.1.4.1","16089389","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Exports","Cubic metres","Cubic metres","72","units","0","v107705258","1.1.4.1","15172321","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Exports","Cubic metres","Cubic metres","72","units","0","v107705258","1.1.4.1","15389872","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Exports","Cubic metres","Cubic metres","72","units","0","v107705258","1.1.4.1","14126325","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Exports","Cubic metres","Cubic metres","72","units","0","v107705258","1.1.4.1","16556412","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705260","1.1.5.1","8593587","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705260","1.1.5.1","8192646","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705260","1.1.5.1","8494904","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705260","1.1.5.1","8182710","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705260","1.1.5.1","8915773","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705262","1.1.6.1","4043655","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705262","1.1.6.1","4087169","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705262","1.1.6.1","4100641","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705262","1.1.6.1","4401618","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705262","1.1.6.1","4869963","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705264","1.1.7.1","12213139","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705264","1.1.7.1","12331387","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705264","1.1.7.1","11990735","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705264","1.1.7.1","12033882","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705264","1.1.7.1","12780725","","","","0"
"2019-08","Canada","2016A000011124","Crude oil and equivalent products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705266","1.1.8.1","12331387","","","","0"
"2019-09","Canada","2016A000011124","Crude oil and equivalent products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705266","1.1.8.1","11990735","","","","0"
"2019-10","Canada","2016A000011124","Crude oil and equivalent products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705266","1.1.8.1","12033882","","","","0"
"2019-11","Canada","2016A000011124","Crude oil and equivalent products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705266","1.1.8.1","12780725","","","","0"
"2019-12","Canada","2016A000011124","Crude oil and equivalent products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705266","1.1.8.1","12657938","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Imports","Cubic metres","Cubic metres","72","units","0","v107705268","1.2.1.1","468431","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Imports","Cubic metres","Cubic metres","72","units","0","v107705268","1.2.1.1","436832","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Imports","Cubic metres","Cubic metres","72","units","0","v107705268","1.2.1.1","457095","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Imports","Cubic metres","Cubic metres","72","units","0","v107705268","1.2.1.1","441410","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Imports","Cubic metres","Cubic metres","72","units","0","v107705268","1.2.1.1","473822","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705270","1.2.2.1","3107254","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705270","1.2.2.1","2812707","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705270","1.2.2.1","2735472","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705270","1.2.2.1","2802306","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Receipts from fields and plants","Cubic metres","Cubic metres","72","units","0","v107705270","1.2.2.1","2833317","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705272","1.2.3.1","2780402","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705272","1.2.3.1","2860549","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705272","1.2.3.1","2936762","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705272","1.2.3.1","2840655","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Other receipts","Cubic metres","Cubic metres","72","units","0","v107705272","1.2.3.1","2897748","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Exports","Cubic metres","Cubic metres","72","units","0","v107705274","1.2.4.1","126441","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Exports","Cubic metres","Cubic metres","72","units","0","v107705274","1.2.4.1","129556","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Exports","Cubic metres","Cubic metres","72","units","0","v107705274","1.2.4.1","128896","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Exports","Cubic metres","Cubic metres","72","units","0","v107705274","1.2.4.1","129831","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Exports","Cubic metres","Cubic metres","72","units","0","v107705274","1.2.4.1","104865","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705276","1.2.5.1","177586","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705276","1.2.5.1","161450","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705276","1.2.5.1","175219","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705276","1.2.5.1","164767","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Deliveries to refineries","Cubic metres","Cubic metres","72","units","0","v107705276","1.2.5.1","217018","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705278","1.2.6.1","6064762","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705278","1.2.6.1","5426228","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705278","1.2.6.1","5478629","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705278","1.2.6.1","5567889","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Other deliveries","Cubic metres","Cubic metres","72","units","0","v107705278","1.2.6.1","5946211","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1894326","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1804030","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1865159","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1944922","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1920605","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1804030","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1865159","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1944922","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1920605","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1815246","","","","0"


